Main time: 33 us
Process 1 time: 38 us
Process 2 time: 28 us
Process 3 time: 14 us
Process 4 time: 14 us
Process 5 time: 33 us
Process 6 time: 14 us
Process 7 time: 14 us
Process 8 time: 14 us
Process 9 time: 26 us
Process 10 time: 16 us
Process 11 time: 26 us
Process 12 time: 13 us
Process 13 time: 14 us
Process 14 time: 15 us
Process 15 time: 14 us
Process 16 time: 13 us
Process 17 time: 39 us
Process 18 time: 16 us
Process 19 time: 27 us
Process 20 time: 31 us
Process 21 time: 17 us
Process 22 time: 31 us
Process 23 time: 29 us
Process 24 time: 14 us
Process 25 time: 16 us
Process 26 time: 23 us
Process 27 time: 16 us
Process 28 time: 31 us
Process 29 time: 15 us
Process 30 time: 17 us
Process 31 time: 17 us
Process 32 time: 14 us
Process 33 time: 16 us
Process 34 time: 15 us
Process 35 time: 16 us
Process 36 time: 14 us
Process 37 time: 16 us
Process 38 time: 14 us
Process 39 time: 18 us
Process 40 time: 16 us
Process 41 time: 33 us
Process 42 time: 13 us
Process 43 time: 14 us
Process 44 time: 16 us
Process 45 time: 16 us
Process 46 time: 18 us
Process 47 time: 16 us
Process 48 time: 16 us
Process 49 time: 36 us
Process 50 time: 16 us
Process 51 time: 16 us
Process 52 time: 16 us
Process 53 time: 14 us
Process 54 time: 17 us
Process 55 time: 16 us
Process 56 time: 16 us
Process 57 time: 25 us
Process 58 time: 14 us
Process 59 time: 13 us
Process 60 time: 14 us
Process 61 time: 14 us
Process 62 time: 14 us
Process 63 time: 31 us
Process 64 time: 21 us
Process 65 time: 29 us
Process 66 time: 14 us
Process 67 time: 13 us
Process 68 time: 14 us
Process 69 time: 14 us
Process 70 time: 23 us
Process 71 time: 27 us
Process 72 time: 16 us
Process 73 time: 18 us
Process 74 time: 16 us
Process 75 time: 31 us
Process 76 time: 13 us
Process 77 time: 35 us
Process 78 time: 15 us
Process 79 time: 14 us
Process 80 time: 13 us
Process 81 time: 17 us
Process 82 time: 14 us
Process 83 time: 32 us
Process 84 time: 14 us
Process 85 time: 14 us
Process 86 time: 23 us
Process 87 time: 14 us
Process 88 time: 15 us
Process 89 time: 18 us
Process 90 time: 45 us
Process 91 time: 17 us
Process 92 time: 13 us
Process 93 time: 25 us
Process 94 time: 13 us
Process 95 time: 35 us
Process 96 time: 29 us
Process 97 time: 14 us
Process 98 time: 14 us
Process 99 time: 14 us
Process 100 time: 15 us
Process 101 time: 16 us
Process 102 time: 26 us
Process 103 time: 15 us
Process 104 time: 14 us
Process 105 time: 15 us
Process 106 time: 15 us
Process 107 time: 17 us
Process 108 time: 26 us
Process 109 time: 13 us
Process 110 time: 35 us
Process 111 time: 15 us
Process 112 time: 14 us
Process 113 time: 18 us
Process 114 time: 13 us
Process 115 time: 14 us
Process 116 time: 14 us
Process 117 time: 19 us
Process 118 time: 32 us
Process 119 time: 16 us
Process 120 time: 36 us
Process 121 time: 22 us
Process 122 time: 14 us
Process 123 time: 31 us
Process 124 time: 39 us
Process 125 time: 14 us
Process 126 time: 14 us
Process 127 time: 31 us
Process 128 time: 12 us
Process 129 time: 11 us
Process 130 time: 26 us
Process 131 time: 12 us
Process 132 time: 11 us
Process 133 time: 20 us
Process 134 time: 12 us
Process 135 time: 11 us
Process 136 time: 11 us
Process 137 time: 10 us
Process 138 time: 11 us
Process 139 time: 13 us
Process 140 time: 13 us
Process 141 time: 12 us
Process 142 time: 12 us
Process 143 time: 14 us
Process 144 time: 13 us
Process 145 time: 14 us
Process 146 time: 14 us
Process 147 time: 15 us
Process 148 time: 15 us
Process 149 time: 15 us
Process 150 time: 14 us
Process 151 time: 15 us
Process 152 time: 15 us
Process 153 time: 15 us
Process 154 time: 15 us
Process 155 time: 13 us
Process 156 time: 12 us
Process 157 time: 12 us
Process 158 time: 11 us
Process 159 time: 10 us
Process 160 time: 11 us
Process 161 time: 13 us
Process 162 time: 10 us
Process 163 time: 11 us
Process 164 time: 16 us
Process 165 time: 11 us
Process 166 time: 13 us
Process 167 time: 13 us
Process 168 time: 14 us
Process 169 time: 13 us
Process 170 time: 11 us
Process 171 time: 11 us
Process 172 time: 13 us
Process 173 time: 17 us
Process 174 time: 12 us
Process 175 time: 13 us
Process 176 time: 22 us
Process 177 time: 13 us
Process 178 time: 13 us
Process 179 time: 12 us
Process 180 time: 25 us
Process 181 time: 20 us
Process 182 time: 11 us
Process 183 time: 21 us
Process 184 time: 11 us
Process 185 time: 12 us
Process 186 time: 30 us
Process 187 time: 13 us
Process 188 time: 11 us
Process 189 time: 26 us
